days,num,cada_dia,cada_dos,cada_tres,cada_cuatro,cada_cinco,cada_seis,cada_siete
0,1,50,50,50,50,50,50,50
1,2,100,70.71067812,62.99605249,59.46035575,57.43491775,56.12310242,55.20447568
2,3,200,100,79.3700526,70.71067812,65.97539554,62.99605249,60.95068271
3,4,400,141.4213562,100,84.08964153,75.78582833,70.71067812,67.29500963
4,5,800,200,125.992105,100,87.05505633,79.3700526,74.29971446
5,6,1600,282.8427125,158.7401052,118.9207115,100,89.08987181,82.0335356
6,7,3200,400,200,141.4213562,114.8698355,100,90.57236643
7,8,6400,565.6854249,251.98421,168.1792831,131.9507911,112.2462048,100
8,9,12800,800,317.4802104,200,151.5716567,125.992105,110.4089514
9,10,25600,1131.37085,400,237.841423,174.1101127,141.4213562,121.9013654
10,11,51200,1600,503.96842,282.8427125,200,158.7401052,134.5900193
11,12,102400,2262.7417,634.9604208,336.3585661,229.739671,178.1797436,148.5994289
12,13,204800,3200,800,400,263.9015822,200,164.0670712
13,14,409600,4525.4834,1007.93684,475.682846,303.1433133,224.4924097,181.1447329
14,15,819200,6400,1269.920842,565.6854249,348.2202253,251.98421,200
15,16,1638400,9050.966799,1600,672.7171322,400,282.8427125,220.8179027
16,17,3276800,12800,2015.87368,800,459.479342,317.4802104,243.8027308
17,18,6553600,18101.9336,2539.841683,951.365692,527.8031643,356.3594873,269.1800385
18,19,13107200,25600,3200,1131.37085,606.2866266,400,297.1988578
19,20,26214400,36203.8672,4031.74736,1345.434264,696.4404506,448.9848193,328.1341424
20,21,52428800,51200,5079.683366,1600,800,503.96842,362.2894657
21,22,104857600,72407.73439,6400,1902.731384,918.958684,565.6854249,400
22,23,209715200,102400,8063.494719,2262.7417,1055.606329,634.9604208,441.6358055
23,24,419430400,144815.4688,10159.36673,2690.868529,1212.573253,712.7189745,487.6054617
24,25,838860800,204800,12800,3200,1392.880901,800,538.3600771
25,26,1677721600,289630.9376,16126.98944,3805.462768,1600,897.9696386,594.3977157
26,27,3355443200,409600,20318.73347,4525.4834,1837.917368,1007.93684,656.2682848
27,28,6710886400,579261.8751,25600,5381.737058,2111.212657,1131.37085,724.5789314
28,29,13421772800,819200,32253.97888,6400,2425.146506,1269.920842,800
29,30,26843545600,1158523.75,40637.46693,7610.925536,2785.761803,1425.437949,883.2716109
30,31,53687091200,1638400,51200,9050.966799,3200,1600,975.2109234
31,32,1.07374E+11,2317047.501,64507.95775,10763.47412,3675.834736,1795.939277,1076.720154
32,33,2.14748E+11,3276800,81274.93386,12800,4222.425314,2015.87368,1188.795431
33,34,4.29497E+11,4634095.001,102400,15221.85107,4850.293013,2262.7417,1312.53657
34,35,8.58993E+11,6553600,129015.9155,18101.9336,5571.523605,2539.841683,1449.157863
35,36,1.71799E+12,9268190.002,162549.8677,21526.94823,6400,2850.875898,1600
36,37,3.43597E+12,13107200,204800,25600,7351.669472,3200,1766.543222
37,38,6.87195E+12,18536380,258031.831,30443.70214,8444.850629,3591.878555,1950.421847
38,39,1.37439E+13,26214400,325099.7354,36203.8672,9700.586026,4031.74736,2153.440308
39,40,2.74878E+13,37072760.01,409600,43053.89646,11143.04721,4525.4834,2377.590863
40,41,5.49756E+13,52428800,516063.662,51200,12800,5079.683366,2625.073139
41,42,1.09951E+14,74145520.02,650199.4709,60887.40429,14703.33894,5701.751796,2898.315726
42,43,2.19902E+14,104857600,819200,72407.73439,16889.70126,6400,3200
43,44,4.39805E+14,148291040,1032127.324,86107.79292,19401.17205,7183.757109,3533.086444
44,45,8.79609E+14,209715200,1300398.942,102400,22286.09442,8063.494719,3900.843693
45,46,1.75922E+15,296582080.1,1638400,121774.8086,25600,9050.966799,4306.880616
46,47,3.51844E+15,419430400,2064254.648,144815.4688,29406.67789,10159.36673,4755.181725
47,48,7.03687E+15,593164160.2,2600797.884,172215.5858,33779.40252,11403.50359,5250.146278
48,49,1.40737E+16,838860800,3276800,204800,38802.3441,12800,5796.631451
49,50,2.81475E+16,1186328320,4128509.296,243549.6172,44572.18884,14367.51422,6400
50,51,5.6295E+16,1677721600,5201595.767,289630.9376,51200,16126.98944,7066.172888
51,52,1.1259E+17,2372656641,6553600,344431.1717,58813.35578,18101.9336,7801.687387
52,53,2.2518E+17,3355443200,8257018.593,409600,67558.80503,20318.73347,8613.761233
53,54,4.5036E+17,4745313281,10403191.53,487099.2343,77604.68821,22807.00718,9510.36345
54,55,9.0072E+17,6710886400,13107200,579261.8751,89144.37768,25600,10500.29256
55,56,1.80144E+18,9490626562,16514037.19,688862.3434,102400,28735.02844,11593.2629
56,57,3.60288E+18,13421772800,20806383.07,819200,117626.7116,32253.97888,12800
57,58,7.20576E+18,18981253125,26214400,974198.4686,135117.6101,36203.8672,14132.34578
58,59,1.44115E+19,26843545600,33028074.37,1158523.75,155209.3764,40637.46693,15603.37477
59,60,2.8823E+19,37962506250,41612766.14,1377724.687,178288.7554,45614.01437,17227.52247
60,61,5.76461E+19,53687091200,52428800,1638400,204800,51200,19020.7269
61,62,1.15292E+20,75925012499,66056148.74,1948396.937,235253.4231,57470.05687,21000.58511
62,63,2.30584E+20,1.07374E+11,83225532.27,2317047.501,270235.2201,64507.95775,23186.52581
63,64,4.61169E+20,1.5185E+11,104857600,2755449.374,310418.7528,72407.73439,25600
64,65,9.22337E+20,2.14748E+11,132112297.5,3276800,356577.5107,81274.93386,28264.69155
65,66,1.84467E+21,3.037E+11,166451064.5,3896793.874,409600,91228.02874,31206.74955
66,67,3.68935E+21,4.29497E+11,209715200,4634095.001,470506.8462,102400,34455.04493
67,68,7.3787E+21,6.074E+11,264224595,5510898.747,540470.4403,114940.1137,38041.4538
68,69,1.47574E+22,8.58993E+11,332902129.1,6553600,620837.5056,129015.9155,42001.17023
69,70,2.95148E+22,1.2148E+12,419430400,7793587.749,713155.0215,144815.4688,46373.05161
70,71,5.90296E+22,1.71799E+12,528449189.9,9268190.002,819200,162549.8677,51200
71,72,1.18059E+23,2.4296E+12,665804258.2,11021797.49,941013.6924,182456.0575,56529.3831
72,73,2.36118E+23,3.43597E+12,838860800,13107200,1080940.881,204800,62413.4991
